Tgl,Pagi,Sore,Jumlah,pecah,Dos,butir,Kirim,Sisa
1/1/2019,745,786,1531,21,,,0,2700
1/2/2019,575,952,1527,23,,,0,4204
1/3/2019,669,867,1536,20,,,0,5720
1/4/2019,669,859,1528,23,46,150,6900,325
1/5/2019,632,907,1539,22,,,0,1842
1/6/2019,653,882,1535,19,,,0,3358
1/7/2019,654,897,1551,20,32,150,4800,89
1/8/2019,667,886,1553,22,,,0,1620
1/9/2019,664,976,1640,21,,,0,3239
1/10/2019,779,889,1668,23,,,0,4884
1/11/2019,769,994,1763,20,43,150,6450,177
1/12/2019,792,984,1776,22,,,0,1931
1/13/2019,796,979,1775,24,,,0,3682
1/14/2019,830,945,1775,25,36,150,5400,32
1/15/2019,795,958,1753,23,,,0,1762
1/16/2019,654,1128,1782,10,,,0,3534
1/17/2019,815,1124,1939,24,,,0,5449
1/18/2019,849,1095,1944,22,48,150,7200,171
1/19/2019,932,1063,1995,25,,,0,2141
1/20/2019,919,1082,2001,23,,,0,4119
1/21/2019,1054,975,2029,24,40,150,6000,124
1/22/2019,934,1139,2073,26,,,0,2171
1/23/2019,863,1236,2099,24,,,0,4246
1/24/2019,915,1205,2120,25,,,0,6341
1/25/2019,964,1157,2121,26,55,150,8250,186
1/26/2019,941,1211,2152,28,,,0,2310
1/27/2019,912,1252,2164,28,,,0,4446
1/28/2019,987,1158,2145,27,32,150,4800,1764
1/29/2019,992,1173,2165,25,1,1539,1539,2365
1/30/2019,876,1301,2177,24,1,1548,1548,2970
1/31/2019,902,1259,2161,27,1,1519,1519,3585
2/1/2019,1019,1132,2151,26,1,1541,1541,4019
2/2/2019,959,1078,2037,25,15,150,2250,3781
2/3/2019,805,1223,2028,28,1,1727,1727,4054
2/4/2019,1038,984,2022,24,39,150,5850,202
2/5/2019,923,1119,2042,26,,,0,2218
2/6/2019,876,1128,2004,20,,,0,4202
2/7/2019,854,1123,1977,18,,,0,6161
2/8/2019,837,1118,1955,21,52,150,7800,295
